titulo,precio,marca,link,fecha_scraping
Notebook Asus E410ka 14  Intel Celeron N4500 4gb 64gb W11,410.525,ASUS,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=Jo7wtBsSJ%2FrnmY19l01iaip8k66h1jN1kR4Qz6CvsG1hHfUWBUZU6V6p01jvqcwDv360AfIx7bGKt04iLvVIwvE6mecxCKGOLJ7mrnooDjADxIoZdRtoRkhQEWdHmjnlLGZuPNg7y%2FJDGFMTPgYBanfwJ0Dukh4RYGJpqLsmFRIPjsR2mUICA%2FRGPsztWxAPojTxhF4ImIsrplg20P%2FgfSW7LFx6GB8LRUMdLSefhayOHYzo%2Bx3ae2vAzRhD8aVbkSNBilI8bi1%2FL3Gtj5mYJ8a6tVq%2FF5AuUkaYrkgJDVzl5tANnAmHd8TDpGfBogXQmN2b0wJWfwWDcNPtx6T7WsoTd%2FBaH0P%2B8PsM7Xwub6%2F8LA%2FN%2BuRLvrEOrciWts92cKB5YaZNffsOaHU%2FpCaGlIm1Sd9mfODCYjjX1c3tzEwYnjWAzvcoxotDtVuJ5XABDCUdSHbWJZEWd4PqqpLJ0FKk3YoY6ntovZNa2qrEy6ymvpvHmKbB0BZGA4HStOJadza%2BdmNZjkCWb0NJr%2FAHaYtQ1llSyyJe8zhPBH4xhZguqfWcK%2BsXbBtmIGZIb1MzgyHfDZe%2Bh5ta3Sh8QeK4RabkeMZA8GWg%2FzlNEg%2B8rBTv7wapZDnI4%2FNxyaKKmSWbM6TAkLFSsPkOvsm0HEKBI%2FZ3g6gZMqm5Q6ZvW3MDk3aAE0%2BN2XM%2FEOGetNmMeD0C&rb=x#polycard_client=search-nordic&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
"Notebook Acer Aspire Ryzen 7 5700u 16gb 512gb 15,6' Fhd Gris Color Plateado",1.714.271,ACER,https://www.mercadolibre.com.ar/notebook-acer-aspire-ryzen-7-5700u-16gb-512gb-156-fhd-gris-color-plateado/p/MLA35478000#polycard_client=search-nordic&wid=MLA1950562386&sid=search&searchVariation=MLA35478000&position=4&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Philco N14P4020 14.1 Pulgadas Intel Celeron 4gb 128gb Ssd Windows 11,570.999,PHILCO,https://www.mercadolibre.com.ar/notebook-philco-n14p4020-141-pulgadas-intel-celeron-4gb-128gb-ssd-windows-11/p/MLA42114051#polycard_client=search-nordic&wid=MLA1949425172&sid=search&searchVariation=MLA42114051&position=5&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Lenovo Ideapad 1 4gb 128gb 14 Intel Celeron W11 Color Plateado,329.989,LENOVO,https://www.mercadolibre.com.ar/notebook-lenovo-ideapad-1-4gb-128gb-14-intel-celeron-w11-color-plateado/p/MLA29590978#polycard_client=search-nordic&wid=MLA1948567756&sid=search&searchVariation=MLA29590978&position=6&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
"Notebook Asus Vivobook 14 Intel Core I3 1215u, 8gb De Ram, 128gb Ssd, Full Hd,  Windows 11 Home",831.399,ASUS,https://www.mercadolibre.com.ar/notebook-asus-vivobook-14-intel-core-i3-1215u-8gb-de-ram-128gb-ssd-full-hd-windows-11-home/p/MLA35741114#polycard_client=search-nordic&wid=MLA1857458854&sid=search&searchVariation=MLA35741114&position=7&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Exo Xq3t-3082 Intel I3-10ma 8gb Ssd 256 Gb Fhd W11,999.999,No especificada,https://articulo.mercadolibre.com.ar/MLA-1457143817-notebook-exo-xq3t-3082-intel-i3-10ma-8gb-ssd-256-gb-fhd-w11-_JM#polycard_client=search-nordic&position=50&search_layout=stack&type=item&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
"Notebook Lenovo Ideapad 1 15IAU7 Pantalla Táctil Fhd De 15,6 Pulgadas Core I3-1215u 8 Gb De Ram Ssd De 256 Gb Gris Nube",1.680.904,LENOVO,https://www.mercadolibre.com.ar/notebook-lenovo-ideapad-1-15iau7-pantalla-tactil-fhd-de-156-pulgadas-core-i3-1215u-8-gb-de-ram-ssd-de-256-gb-gris-nube/p/MLA37834136#polycard_client=search-nordic&wid=MLA1446479313&sid=search&searchVariation=MLA37834136&position=8&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
"Notebook Aspire Go Intel i3 N305, DDR5 8Gb Ram, 128Gb SSD, Pantalla 15.6"" Full HD, Windows 11 (AG15-31P-3947)",1.047.999,ACER,https://www.mercadolibre.com.ar/notebook-aspire-go-intel-i3-n305-ddr5-8gb-ram-128gb-ssd-pantalla-156-full-hd-windows-11-ag15-31p-3947/p/MLA39392605#polycard_client=search-nordic&wid=MLA1455900549&sid=search&searchVariation=MLA39392605&position=9&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Asus Vivobook Go 14 Windows 11 128gb Ssd 4gb Ram Color Dreamy white,626.999,ASUS,https://www.mercadolibre.com.ar/notebook-asus-vivobook-go-14-windows-11-128gb-ssd-4gb-ram-color-dreamy-white/p/MLA26196576#polycard_client=search-nordic&wid=MLA1455084085&sid=search&searchVariation=MLA26196576&position=10&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Nsx Intel Celeron N5100 8gb Ram 256gb Ssd 14.1 W11 Color Negro,429.999,No especificada,https://www.mercadolibre.com.ar/notebook-nsx-intel-celeron-n5100-8gb-ram-256gb-ssd-141-w11-color-negro/p/MLA40153477#polycard_client=search-nordic&wid=MLA1909586374&sid=search&searchVariation=MLA40153477&position=11&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Exo Smart R41 Celeron N4020 4gb Ssd 128gb 14.1  Windows 11,449.999,No especificada,https://www.mercadolibre.com.ar/notebook-exo-smart-r41-celeron-n4020-4gb-ssd-128gb-141-windows-11/p/MLA41103478#polycard_client=search-nordic&wid=MLA1916138602&sid=search&searchVariation=MLA41103478&position=12&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Lenovo Ideapad 1 14igl7 14 Pulgadas Hd Celeron N4020 4gb Ram 128ssd Windows 11 Home,485.700,LENOVO,https://www.mercadolibre.com.ar/notebook-lenovo-ideapad-1-14igl7-14-pulgadas-hd-celeron-n4020-4gb-ram-128ssd-windows-11-home/p/MLA39233342#polycard_client=search-nordic&wid=MLA1898427698&sid=search&searchVariation=MLA39233342&position=13&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
"Notebook X515EA 15.6"" color slate gray 40GB de Ram - 1TB SSD - Intel Core i7",2.803.599,ASUS,https://www.mercadolibre.com.ar/notebook-x515ea-156-color-slate-gray-40gb-de-ram-1tb-ssd-intel-core-i7/p/MLA27950490#polycard_client=search-nordic&wid=MLA1862293634&sid=search&searchVariation=MLA27950490&position=14&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
"Notebook Hp Intel Core I3 N305, Ddr4 8gb Ram, 256gb Ssd, Windows 11, Patalla 14  Hd, Moonlight Blue",567.999,HP,https://www.mercadolibre.com.ar/notebook-hp-intel-core-i3-n305-ddr4-8gb-ram-256gb-ssd-windows-11-patalla-14-hd-moonlight-blue/p/MLA38756798#polycard_client=search-nordic&wid=MLA1943785024&sid=search&searchVariation=MLA38756798&position=15&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Lenovo Intel I5 1135g7 8gb 256gb 14'' Fhd Win 11 Color Gris,1.264.271,LENOVO,https://www.mercadolibre.com.ar/notebook-lenovo-intel-i5-1135g7-8gb-256gb-14-fhd-win-11-color-gris/p/MLA22892509#polycard_client=search-nordic&wid=MLA1939948206&sid=search&searchVariation=MLA22892509&position=16&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Laptop Geobook 14 Intel Celeron 4gb De Ram 128gb Ssd Windows 11 Home,312.999,No especificada,https://www.mercadolibre.com.ar/notebook-laptop-geobook-14-intel-celeron-4gb-de-ram-128gb-ssd-windows-11-home/p/MLA40550926#polycard_client=search-nordic&wid=MLA1908471930&sid=search&searchVariation=MLA40550926&position=17&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Lenovo V15 G4 Amn Amd Ryzen 3 7320u 16gb De Ram Ssd 512gb Gráficos Amd Radeon 610m 1920x1080px Teclado Español Gris,1.553.999,LENOVO,https://www.mercadolibre.com.ar/notebook-lenovo-v15-g4-amn-amd-ryzen-3-7320u-16gb-de-ram-ssd-512gb-graficos-amd-radeon-610m-1920x1080px-teclado-espanol-gris/p/MLA39457292#polycard_client=search-nordic&wid=MLA1893131660&sid=search&searchVariation=MLA39457292&position=18&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Enova 14 Celeron N4020 Ram 4gb Ssd 128gb Negro,372.353,No especificada,https://www.mercadolibre.com.ar/notebook-enova-14-celeron-n4020-ram-4gb-ssd-128gb-negro/p/MLA23827239#polycard_client=search-nordic&wid=MLA1460808628&sid=search&searchVariation=MLA23827239&position=19&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Wings Nuvobook Intel Core I7 16gb De Ram 512gb Ssd Pcie Nvme 14 Pulgadas 1920px X 1080px Windows 11 Home,1.489.499,No especificada,https://www.mercadolibre.com.ar/notebook-wings-nuvobook-intel-core-i7-16gb-de-ram-512gb-ssd-pcie-nvme-14-pulgadas-1920px-x-1080px-windows-11-home/p/MLA40550942#polycard_client=search-nordic&wid=MLA1906551320&sid=search&searchVariation=MLA40550942&position=20&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Core I5 Aiwa 15.6  256gb 8gb Ram Win 11 + Funda Color Gris,1.415.822,No especificada,https://www.mercadolibre.com.ar/notebook-core-i5-aiwa-156-256gb-8gb-ram-win-11-funda-color-gris/p/MLA26998209#polycard_client=search-nordic&wid=MLA1441883975&sid=search&searchVariation=MLA26998209&position=21&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Lenovo Ideapad1 15alc7 Ryzen 7 40gb Ram Ddr4 1tb Ssd Pcie Amd Radeon Graphics 1920 X 1080 Px Full Hd Freedos Color Abbys Blue,2.435.999,LENOVO,https://www.mercadolibre.com.ar/notebook-lenovo-ideapad1-15alc7-ryzen-7-40gb-ram-ddr4-1tb-ssd-pcie-amd-radeon-graphics-1920-x-1080-px-full-hd-freedos-color-abbys-blue/p/MLA42236310#polycard_client=search-nordic&wid=MLA1941873448&sid=search&searchVariation=MLA42236310&position=22&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Lenovo Yoga 7 14  R5 8gb 512gb W11h Touch Color Gris,1.999.999,LENOVO,https://www.mercadolibre.com.ar/notebook-lenovo-yoga-714-r5-8gb-512gb-w11h-touch-color-gris/p/MLA41005080#polycard_client=search-nordic&wid=MLA1948449566&sid=search&searchVariation=MLA41005080&position=23&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Cx Cx30482 Negra 15.6 Intel Core I3 1025g1 8gb De Ram 256gb Ssd Full Hd Intel Graphics 1920x1080px,716.849,No especificada,https://www.mercadolibre.com.ar/notebook-cx-cx30482-negra-156-intel-core-i3-1025g1-8gb-de-ram-256gb-ssd-full-hd-intel-graphics-1920x1080px/p/MLA36682742#polycard_client=search-nordic&wid=MLA1456416139&sid=search&searchVariation=MLA36682742&position=24&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
"Notebook Samsung Galaxy Np750 Book3 15.6, Intel I7, 16gb 512gb 10 nucleo",2.169.999,SAMSUNG,https://www.mercadolibre.com.ar/notebook-samsung-galaxy-np750-book3-156-intel-i7-16gb-512gb-10-nucleo/p/MLA24848182#polycard_client=search-nordic&wid=MLA1663063080&sid=search&searchVariation=MLA24848182&position=25&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
"Netbook Exomate X5-s1441p Intel N4020c 4gb Ssd128gb 11,6 W11 Color Gris",499.999,No especificada,https://www.mercadolibre.com.ar/netbook-exomate-x5-s1441p-intel-n4020c-4gb-ssd128gb-116-w11-color-gris/p/MLA35101893#polycard_client=search-nordic&wid=MLA1848679454&sid=search&searchVariation=MLA35101893&position=26&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Noblex N14x1010 14.1 Hd Intel Celeron 4gb/128gb Ssd,362.999,No especificada,https://www.mercadolibre.com.ar/notebook-noblex-n14x1010-141-hd-intel-celeron-4gb128gb-ssd/p/MLA37505961#polycard_client=search-nordic&wid=MLA1453055627&sid=search&searchVariation=MLA37505961&position=27&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
"Notebook X515EA 15.6"" color slate gray 16GB de Ram - 1TB SSD - Intel Core i7",2.636.345,ASUS,https://www.mercadolibre.com.ar/notebook-x515ea-156-color-slate-gray-16gb-de-ram-1tb-ssd-intel-core-i7/p/MLA28111809#polycard_client=search-nordic&wid=MLA1862253680&sid=search&searchVariation=MLA28111809&position=28&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Hp 255 G10 Ryzen 5 7530u 16gb Ddr4 Ram 512gb Ssd Gráficos Amd Radeon 15.6  1366 X 768 Hd Free Color Negro,1.634.999,HP,https://www.mercadolibre.com.ar/notebook-hp-255-g10-ryzen-5-7530u-16gb-ddr4-ram-512gb-ssd-graficos-amd-radeon-156-1366-x-768-hd-free-color-negro/p/MLA41255857#polycard_client=search-nordic&wid=MLA1452594117&sid=search&searchVariation=MLA41255857&position=29&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
"Notebook Hp 15-dy5885wm 15,6  256gb / 8gb I5-1235u W11 - Spruce Blue",2.400.999,HP,https://www.mercadolibre.com.ar/notebook-hp-15-dy5885wm-156-256gb-8gb-i5-1235u-w11-spruce-blue/p/MLA39101091#polycard_client=search-nordic&wid=MLA1457220037&sid=search&searchVariation=MLA39101091&position=30&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
"Apple MacBook Air (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Plata",1.380.000,No especificada,https://www.mercadolibre.com.ar/apple-macbook-air-13-pulgadas-2020-chip-m1-256-gb-de-ssd-8-gb-de-ram-plata/p/MLA17828520#polycard_client=search-nordic&wid=MLA1121966195&sid=search&searchVariation=MLA17828520&position=31&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Lenovo Pentium Silver N5030 4gb 128gb 14'' Plateado,740.499,LENOVO,https://www.mercadolibre.com.ar/notebook-lenovo-pentium-silver-n5030-4gb-128gb-14-plateado/p/MLA37993460#polycard_client=search-nordic&wid=MLA1857459372&sid=search&searchVariation=MLA37993460&position=32&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
"Notebook X515EA 15.6"" color slate grey 40GB de Ram - 1TB SSD - Intel Core i7",2.416.824,ASUS,https://www.mercadolibre.com.ar/notebook-x515ea-156-color-slate-grey-40gb-de-ram-1tb-ssd-intel-core-i7/p/MLA26314185#polycard_client=search-nordic&wid=MLA1862248438&sid=search&searchVariation=MLA26314185&position=33&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
"Notebook X515EA 15.6"" color slate grey 8GB de Ram - 256GB SSD - Intel Core i3",1.312.945,ASUS,https://www.mercadolibre.com.ar/notebook-x515ea-156-color-slate-grey-8gb-de-ram-256gb-ssd-intel-core-i3/p/MLA26696118#polycard_client=search-nordic&wid=MLA1860671558&sid=search&searchVariation=MLA26696118&position=34&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Wings Nuvobook Intel Core I7 16gb De Ram 1tb Ssd Pcie Nvme 14 Pulgadas 1920px X 1080px Windows 11 Home,1.697.999,No especificada,https://www.mercadolibre.com.ar/notebook-wings-nuvobook-intel-core-i7-16gb-de-ram-1tb-ssd-pcie-nvme-14-pulgadas-1920px-x-1080px-windows-11-home/p/MLA40550948#polycard_client=search-nordic&wid=MLA1906581064&sid=search&searchVariation=MLA40550948&position=35&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
"Notebook X515EA 15.6"" color slate gray 16GB de Ram - 256GB SSD - Intel Core i5",1.731.081,ASUS,https://www.mercadolibre.com.ar/notebook-x515ea-156-color-slate-gray-16gb-de-ram-256gb-ssd-intel-core-i5/p/MLA27862443#polycard_client=search-nordic&wid=MLA1439639833&sid=search&searchVariation=MLA27862443&position=36&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
